Timestamp,Session_ID,Group_ID,Winning_Door,Initial_Door,Alt_Door,Final_Door,Is_Switched,Is_Win,Reading_Time_MS
28.08.2026 0:56:29,7e7cddcf-9225-435f-b583-5668575a62b1,Group_A,5,1,5,5,1,1,2091
28.08.2026 0:56:40,7eb42aea-c966-4f6c-9598-b35eb320a0de,Group_D,6,1,6,6,1,1,7443
28.08.2026 0:56:55,d806de2a-6884-4a50-9125-26810b2bb9ac,Group_A,8,10,8,8,1,1,2037
28.08.2026 0:57:08,9a7f201b-b5e8-4b6c-87f9-d468e93a88da,Group_B,7,6,7,6,0,0,13275
28.08.2026 0:57:14,04dbc24b-7924-4d8a-9eec-63f9be57a354,Group_C,6,1,6,6,1,1,4770
28.08.2026 0:57:15,e005c1da-2a83-4be8-bc23-77ebcd29bbd9,Group_B,3,4,3,3,1,1,12303
28.08.2026 0:57:20,b44a5d55-d1e2-4f8d-b993-3f167dea2790,Group_C,10,7,10,10,1,1,1418
28.08.2026 0:57:27,76162d73-7115-4d20-b200-3d4d53f8cfa6,Group_A,3,1,3,3,1,1,7737
28.08.2026 0:57:28,c1eea39e-e9e2-440d-8343-5272c4d3d437,Group_C,7,1,7,7,1,1,10435
28.08.2026 0:57:37,75afb8a0-81e3-4d1f-a30d-3f7b573b1f75,Group_B,7,4,7,4,0,0,5411
28.08.2026 0:57:39,f73a0cb9-fd2d-42c4-a6f9-e37317fcf801,Group_D,4,6,4,4,1,1,22551
28.08.2026 0:57:39,a8f79f50-e4b8-479c-8e52-e663f0c8f263,Group_D,3,4,3,3,1,1,8377
28.08.2026 0:57:40,63e22de3-64cd-4d82-8573-cb4f8f030668,Group_D,8,5,8,8,1,1,2142
28.08.2026 0:57:41,f04bb2b7-f5ab-4578-9109-f6b95f4eeb5a,Group_D,1,4,1,1,1,1,22795
28.08.2026 0:57:48,c05af46f-76af-4d9a-baa8-315e604f85e1,Group_A,5,9,5,5,1,1,1617
28.08.2026 0:57:51,54417b3b-446d-4369-a31c-951244b6d1c2,Group_B,1,3,1,3,0,0,7007
28.08.2026 0:58:03,76eadbda-83b5-447b-97a7-1349bde6355a,Group_B,3,8,3,3,1,1,4677
28.08.2026 0:58:06,fcab9ab3-df5d-4536-8efa-513ea14977e5,Group_C,6,4,6,6,1,1,370
28.08.2026 0:58:09,de6e238e-0411-47aa-9863-8a07fa59f4d3,Group_C,1,9,1,1,1,1,8167
28.08.2026 0:58:17,cddb4b5a-5806-43ed-ba12-cb207afddc8f,Group_B,5,4,5,5,1,1,13498
28.08.2026 0:58:18,747f49b1-a9c1-499e-ae95-1f6624815fa5,Group_C,7,8,7,7,1,1,11895
28.08.2026 0:58:18,98e864c9-0d1a-47cb-8da3-1916c5391899,Group_B,4,7,4,7,0,0,13380
28.08.2026 0:58:33,e2c10602-36ca-46fb-a75b-60451f6787d9,Group_D,7,7,5,5,1,0,62347
28.08.2026 0:58:36,d54a192b-e189-4614-a8b0-443b4b415f60,Group_D,10,2,10,10,1,1,7278
28.08.2026 0:58:38,3375f7d1-2297-4cb9-9110-448869511874,Group_D,10,1,10,10,1,1,2653
28.08.2026 0:58:49,27aed223-1be3-4d35-b633-ba6db2afbf47,Group_B,5,2,5,5,1,1,19655
28.08.2026 0:58:50,08f25e2d-f72b-4f4d-8c45-907b5c9b8b94,Group_C,8,7,8,7,0,0,14792
28.08.2026 0:59:03,7bf1c143-4528-4def-b563-62084c72044d,Group_C,4,2,4,4,1,1,5032
28.08.2026 0:59:04,9aa1b16b-ee90-4626-885b-646bfa6c2240,Group_A,4,7,4,4,1,1,19892
28.08.2026 0:59:14,dbad313b-13e4-479e-a449-0559ca5c6410,Group_C,6,1,6,6,1,1,7105
28.08.2026 0:59:29,70a215f5-88a7-4ce2-b05e-c884154dd12a,Group_B,9,7,9,9,1,1,9673
28.08.2026 0:59:39,b7b8feb4-c3d9-4e7b-96f2-86e77d2ff914,Group_D,6,4,6,6,1,1,10237
28.08.2026 0:59:45,c625eed1-1e8f-4d61-8843-5f2bc171a8bf,Group_D,9,2,9,9,1,1,8235
28.08.2026 0:59:53,a49e101c-169f-428b-a219-8fd61a8471c2,Group_C,6,1,6,6,1,1,2982
28.08.2026 0:59:54,7ab52dec-6643-4338-83eb-2f7e988f8e80,Group_B,9,2,9,9,1,1,9958
28.08.2026 0:59:54,5c69d58f-205f-4242-b213-f701db38bc3e,Group_D,7,3,7,7,1,1,8293
28.08.2026 1:00:28,2cae3de2-bb82-4728-9d7b-6a7c17784481,Group_D,9,6,9,9,1,1,19706
